종목명,티커
서울옥션,063170.KS
홈캐스트,064240.KS
휴비츠,065510.KS
하이퍼코퍼레이션,065650.KS
서호전기,065710.KS
버킷스튜디오,066410.KS
우수AMS,066590.KS
국보디자인,066620.KS
테라젠이텍스,066700.KS
씨씨에스,066790.KS
조이시티,067000.KS
엔브이에이치코리아,067570.KS
와이엔텍,067900.KS
에스텍,069510.KS
인피니트헬스케어,071200.KS
중앙백신,072020.KS
이노와이어리스,073490.KS
아미노로직스,074430.KS
엔에스이엔엠,078860.KS
오킨스전자,080580.KS
팅크웨어,084730.KS
바이오솔루션,086820.KS
MDS테크,086960.KS
동아엘텍,088130.KS
이녹스,088390.KS
유비벨록스,089850.KS
제이스텍,090470.KS
현대이지웰,090850.KS
디엔에프,092070.KS
한라IMS,092460.KS
서원인텍,093920.KS
이엠코리아,095190.KS
스맥,099440.KS
이지케어텍,099750.KS
세운메디칼,100700.KS
하이드로리튬,101670.KS
케이옥션,102370.KS
새빗켐,107600.KS
대양전기공업,108380.KS
남화산업,111710.KS
아이텍,119830.KS
대정화금,120240.KS
태웅로직스,124560.KS
아모그린텍,125210.KS
코칩,126730.KS
옵투스제약,131030.KS
제이씨케미칼,137950.KS
오이솔루션,138080.KS
서플러스글로벌,140070.KS
알에스오토메이션,140670.KS
유니트론텍,142210.KS
노브랜드,145170.KS
제룡산업,147830.KS
하이로닉,149980.KS
퓨처코어,151910.KS
아스플로,159010.KS
이큐셀,160600.KS
싸이맥스,160980.KS
신스틸,162300.KS
핑거,163730.KS
펨트론,168360.KS
엘티씨,170920.KS
오파스넷,173130.KS
휴먼테크놀로지,175140.KS
일월지엠엘,178780.KS
엔지켐생명과학,183490.KS
그린플러스,186230.KS
디바이스이엔지,187870.KS
테고사이언스,191420.KS
강동씨앤엘,198440.KS
케이엔알시스템,199430.KS
뱅크웨어글로벌,199480.KS
에이팩트,200470.KS
엑셈,205100.KS
베노티앤알,206400.KS
미스터블루,207760.KS
셀바스헬스케어,208370.KS
우리산업,215360.KS
강스템바이오텍,217730.KS
오스테오닉,226400.KS
한송네오텍,226440.KS
레이언스,228850.KS
에치에프알,230240.KS
에스트래픽,234300.KS
앤디포스,238090.KS
유니테크노,241690.KS
모비스,250060.KS
수젠텍,253840.KS
야스,255440.KS
케이피에스,256940.KS
피엔티엠에스,257370.KS
엠플러스,259630.KS
씨티케이,260930.KS
에스앤디,260970.KS
덴티스,261200.KS
차백신연구소,261780.KS
에이프로,262260.KS
덕우전자,263600.KS
지니언스,263860.KS
유비쿼스,264450.KS
씨앤지하이테크,264660.KS
영화테크,265560.KS
나인테크,267320.KS
시스웍,269620.KS
와이엠텍,273640.KS
켄코아에어로스페이스,274090.KS
금양그린파워,282720.KS
카이노스메드,284620.KS
엔피,291230.KS
셀리드,299660.KS
플리토,300080.KS
이노메트리,302430.KS
CJ 바이오사이언스,311690.KS
지놈앤컴퍼니,314130.KS
딥노이드,315640.KS
한울반도체,320000.KS
와이팜,332570.KS
엔시스,333620.KS
다보링크,340360.KS
엠투아이,347890.KS
고바이오랩,348150.KS
이지바이오,353810.KS
엑스게이트,356680.KS
티엘비,356860.KS
에이치피오,357230.KS
제노코,361390.KS
에스와이스틸텍,365330.KS
하이딥,365590.KS
공구우먼,366030.KS
LB루셈,376190.KS
노을,376930.KS
샤페론,378800.KS
지아이텍,382480.KS
지앤비에스 에코,382800.KS
코어라인소프트,384470.KS
지투파워,388050.KS
라이콤,388790.KS
파로스아이바이오,388870.KS
에스비비테크,389500.KS
토마토시스템,393210.KS
스튜디오미르,408900.KS
메쎄이상,408920.KS
씨피시스템,413630.KS
제이아이테크,417500.KS
트루엔,417790.KS
라온텍,418420.KS
밀리의서재,418470.KS
삼기이브이,419050.KS
엔젯,419080.KS
SAMG엔터,419530.KS
제이투케이바이오,420570.KS
퓨릿,445180.KS
메가터치,446540.KS
코츠테크놀로지,448710.KS
삐아,451250.KS
한빛레이저,452190.KS
이닉스,452400.KS
사피엔반도체,452430.KS
아이씨티케이,456010.KS
라메디텍,462510.KS
에스오에스랩,464080.KS
티디에스팜,464280.KS
아이언디바이스,464500.KS
M83,476080.KS
제이씨현시스템,033320.KS
좋은사람들,033340.KS
파라텍,033540.KS
블루콤,033560.KS
티비씨,033830.KS
아비코전자,036010.KS
위지트,036090.KS
SCI평가정보,036120.KS
HRS,036640.KS
KCI,036670.KS
심텍홀딩스,036710.KS
안국약품,001540.KS
피에스텍,002230.KS
창해에탄올,004650.KS
대륙제관,004780.KS
국영지앤엠,006050.KS
피제이전자,006140.KS
진양제약,007370.KS
대원,007680.KS
원풍,008370.KS
대동기어,008830.KS
대한광통신,010170.KS
흥국,010240.KS
오리콤,010470.KS
유니크,011320.KS
서한,011370.KS
신일제약,012790.KS
스페코,013810.KS
원익큐브,014190.KS
광림,014200.KS
삼륭물산,014970.KS
코콤,015710.KS
삼현철강,017480.KS
세명전기,017510.KS
대림제지,017650.KS
에너토크,019990.KS
시공테크,020710.KS
프리엠스,053160.KS
금강철강,053260.KS
구영테크,053270.KS
NE능률,053290.KS
이니텍,053350.KS
세코닉스,053450.KS
오상자이엘,053980.KS
한국컴퓨터,054040.KS
키이스트,054780.KS
한컴위드,054920.KS
유신,054930.KS
CNT85,056730.KS
YBM넷,057030.KS
티사이언티픽,057680.KS
아진엑스텍,059120.KS
메타바이오메드,059210.KS
해성에어로보틱스,059270.KS
한국팩키지,037230.KS
인지디스플레,037330.KS
성도이엔지,037350.KS
EG,037370.KS
희림,037440.KS
제일테크노스,038010.KS
루멘스,038060.KS
서린바이오,038070.KS
바이오스마트,038460.KS
상상인,038540.KS
에스넷,038680.KS
에코바이오,038870.KS
아이에이,038880.KS
이건홀딩스,039020.KS
경남스틸,039240.KS
케이엘넷,039420.KS
오로라,039830.KS
한국전자인증,041460.KS
이엘씨,041520.KS
폴라리스AI파마,041910.KS
메디아나,041920.KS
에스씨디,042110.KS
링네트,042500.KS
티에스넥스젠,043220.KS
국순당,043650.KS
자연과환경,043910.KS
조광ILI,044060.KS
이글벳,044960.KS
오르비텍,046120.KS
삼화네트웍스,046390.KS
코데즈컴바인,047770.KS
유라테크,048430.KS
KCC건설,021320.KS
한일단조,024740.KS
유성티엔에스,024800.KS
케이피에프,024880.KS
경창산업,024910.KS
한국선재,025550.KS
상보,027580.KS
대성창투,027830.KS
TJ미디어,032540.KS
엠젠솔루션,032790.KS
비트컴퓨터,032850.KS
원익,032940.KS
디지틀조선,033130.KS
시그네틱스,033170.KS
엠투엔,033310.KS
대성하이텍,129920.KS
나이스디앤비,130580.KS
에스엔유,080000.KS
코디,080530.KS
티플랙스,081150.KS
성우전자,081580.KS
옵트론텍,082210.KS
에프엔에스테크,083500.KS
수성웹툰,084180.KS
바이오톡스텍,086040.KS
비엠티,086670.KS
모바일어플라이언스,087260.KS
픽셀플러스,087600.KS
유라클,088340.KS
에이스테크,088800.KS
덕신이피씨,090410.KS
한울소재과학,091440.KS
빅솔론,093190.KS
슈프리마에이치큐,094840.KS
참좋은여행,094850.KS
제이엠티,094970.KS
웨이브일렉트로,095270.KS
대창솔루션,096350.KS
에스코넥,096630.KS
에코볼트,097780.KS
SDN,099220.KS
DGI,099520.KS
영림원소프트랩,060850.KS
티엘아이,062860.KS
SM Life Design,063440.KS
브리지텍,064480.KS
탑엔지니어링,065130.KS
와이어블,065530.KS
웰크론,065950.KS
하츠,066130.KS
큐에스아이,066310.KS
디티씨,066670.KS
손오공,066910.KS
한성크린텍,066980.KS
JW신약,067290.KS
선바이오,067370.KS
팬엔터테인먼트,068050.KS
일신바이오,068330.KS
빛과전자,069540.KS
에이테크솔루션,071670.KS
우리산업홀딩스,072470.KS
에이치시티,072990.KS
엘엠에스,073110.KS
우리손에프앤지,073560.KS
리튬포어스,073570.KS
테라사이언스,073640.KS
가온그룹,078890.KS
기가레인,049080.KS
파인디앤씨,049120.KS
오픈베이스,049480.KS
잉크테크,049550.KS
캠시스,050110.KS
수산아이앤티,050960.KS
나라엠앤디,051490.KS
iMBC,052220.KS
씨티프라퍼티,052300.KS
제일바이오,052670.KS
아이톡시,052770.KS
액토즈소프트,052790.KS
한국비티비,219750.KS
핸디소프트,220180.KS
코스맥스엔비티,222040.KS
NPX,222160.KS
세토피아,222810.KS
드림씨아이에스,223250.KS
에이텍모빌리티,224110.KS
제놀루션,225220.KS
신테카바이오,226330.KS
아셈스,136410.KS
카티스,140430.KS
비아트론,141000.KS
녹십자엠에스,142280.KS
모아라이프플러스,142760.KS
파수,150900.KS
옵티팜,153710.KS
와이엠씨,155650.KS
아톤,158430.KS
제로투세븐,159580.KS
NEW,160550.KS
현대공업,170030.KS
파이오링크,170790.KS
램테크놀러지,171010.KS
라이온켐텍,171120.KS
에이엘티,172670.KS
아이큐어,175250.KS
아이진,185490.KS
제노포커스,187420.KS
현대ADM,187660.KS
포시에스,189690.KS
흥국에프엔비,189980.KS
케이사인,192250.KS
인지소프트,100030.KS
머큐리,100590.KS
KS인더스트리,101000.KS
우림피티에스,101170.KS
씨큐브,101240.KS
모베이스,101330.KS
우양,103840.KS
코렌텍,104540.KS
노랑풍선,104620.KS
케이엔더블유,105330.KS
디케이락,105740.KS
포스뱅크,105760.KS
하이소닉,106080.KS
씨싸이트,109670.KS
진매트릭스,109820.KS
동일금속,109860.KS
AP헬스케어,109960.KS
휴맥스,115160.KS
인포바인,115310.KS
우리넷,115440.KS
케이씨에스,115500.KS
지엔씨에너지,119850.KS
제노레이,122310.KS
삼기,122350.KS
위메이드플레이,123420.KS
이엠넷,123570.KS
뉴온,123840.KS
제이엔케이글로벌,126880.KS
디엔에이링크,127120.KS
화인써키트,127980.KS
피제이메탈,128660.KS
앱코,129890.KS
비투엔,307870.KS
컴퍼니케이,307930.KS
바이젠셀,308080.KS
LB인베스트먼트,309960.KS
지오엘리먼트,311320.KS
네오크레마,311390.KS
캐리,313760.KS
엑스페릭스,317770.KS
에스피시스템스,317830.KS
대모,317850.KS
프로이천,321260.KS
센서뷰,321370.KS
본느,226340.KS
KH 건설,226360.KS
아우딘퓨쳐스,227610.KS
라온테크,232680.KS
폴라리스세원,234100.KS
자이글,234920.KS
엔비티,236810.KS
플레이디,237820.KS
에이치엘사이언스,239610.KS
피엔에이치테크,239890.KS
DSC인베스트먼트,241520.KS
메카로,241770.KS
티이엠씨씨엔에스,241790.KS
피씨엘,241820.KS
에이스토리,241840.KS
EDGC,245620.KS
아스타,246720.KS
SCL사이언스,246960.KS
보라티알,250000.KS
브이원텍,251630.KS
자비스,254120.KS
한독크린텍,256150.KS
포인트엔지니어링,256630.KS
알리코제약,260660.KS
유틸렉스,263050.KS
어스앤에어로스페이스,263540.KS
디알젬,263690.KS
케어랩스,263700.KS
데이타솔루션,263800.KS
엔에프씨,265740.KS
뉴트리,270870.KS
팸텍,271830.KS
애니젠,196300.KS
엔피디,198080.KS
레이저옵텍,199550.KS
텔콘RF제약,200230.KS
미투온,201490.KS
스피어파워,203690.KS
티쓰리,204610.KS
지엘팜텍,204840.KS
액션스퀘어,205500.KS
정다운,208140.KS
빅텐츠,210120.KS
네오오토,212560.KS
FSN,214270.KS
미코바이오메드,214610.KS
뉴지랩파마,214870.KS
로보로보,215100.KS
인크로스,216050.KS
제너셈,217190.KS
러셀,217500.KS
미래생명자원,218150.KS
맥스트,377030.KS
프롬바이오,377220.KS
마음AI,377480.KS
디티앤씨알오,383930.KS
포바이포,389140.KS
코닉오토메이션,391710.KS
세아메카닉스,396300.KS
우듬지팜,403490.KS
플라즈맵,405000.KS
꿈비,407400.KS
저스템,417840.KS
모델솔루션,417970.KS
한싹,430690.KS
와이랩,432430.KS
미래에셋드림스팩1호,442900.KS
레뷰코퍼레이션,443250.KS
하스,450330.KS
아이엠티,451220.KS
제이엔비,452160.KS
아이빔테크놀로지,460470.KS
