Ticker,Return,Volume Change Rate,Original Ticker
조비,0.0,2.605,001550.KS
한솔PNS,0.0,-38.692,010420.KS
시디즈,0.0,-43.402,134790.KS
웰바이오텍,0.0,,010600.KS
한독,0.0,-23.901,002390.KS
하이트진로,0.0,-28.767,000080.KS
롯데렌탈,0.0,11.669,089860.KS
아세아제지,0.0,-10.242,002310.KS
세원이앤씨,0.0,,091090.KS
이아이디,0.0,,093230.KS
HMM,0.0,-64.003,011200.KS
인바이오젠,0.0,,101140.KS
쌍방울,0.0,,102280.KS
풍산,0.0,-64.953,103140.KS
선도전기,0.0,,007610.KS
삼성FN리츠,0.0,-41.919,448730.KS
NH올원리츠,0.0,37.897,400760.KS
대동전자,0.0,,008110.KS
주성코퍼레이션,0.0,,109070.KS
동원산업,0.0,-26.087,006040.KS
한국자산신탁,0.0,-37.298,123890.KS
대유플러스,0.0,,000300.KS
카프로,0.0,,006380.KS
경동도시가스,-0.053,-52.625,267290.KS
LF,-0.065,-26.527,093050.KS
한일시멘트,-0.073,8.822,300720.KS
현대글로비스,-0.088,-28.29,086280.KS
대우부품,-0.091,-69.004,009320.KS
사조동아원,-0.1,85.302,008040.KS
롯데정밀화학,-0.104,-36.379,004000.KS
하이트진로홀딩스,-0.108,61.253,000140.KS
현대홈쇼핑,-0.108,-24.881,057050.KS
경농,-0.109,-33.33,002100.KS
금호타이어,-0.115,-30.041,073240.KS
자화전자,-0.117,-30.478,033240.KS
SIMPAC,-0.119,-65.995,009160.KS
KCC글라스,-0.123,-12.328,344820.KS
롯데하이마트,-0.124,42.644,071840.KS
신한서부티엔디리츠,-0.134,76.909,404990.KS
BGF,-0.139,-47.489,027410.KS
신흥,-0.14,-55.154,004080.KS
한화갤러리아,-0.141,-80.53,452260.KS
대한제분,-0.144,59.379,001130.KS
진양폴리,-0.15,-44.923,010640.KS
경인양행,-0.156,15.278,012610.KS
한국주철관,-0.156,-22.955,000970.KS
삼호개발,-0.156,-22.848,010960.KS
삼화왕관,-0.157,-81.648,004450.KS
동서,-0.157,-32.854,026960.KS
명신산업,-0.158,25.011,009900.KS
DN오토모티브,-0.161,-49.614,007340.KS
동방아그로,-0.162,-60.897,007590.KS
JW홀딩스,-0.163,-15.459,096760.KS
두산로보틱스,-0.163,26.42,454910.KS
대한방직,-0.165,-5.899,001070.KS
엠씨넥스,-0.167,-44.9,097520.KS
유안타증권,-0.17,-36.467,003470.KS
무학,-0.174,-28.251,033920.KS
무림P&P,-0.174,-45.382,009580.KS
퍼스텍,-0.177,-15.324,010820.KS
교보증권,-0.183,981.879,030610.KS
오리온홀딩스,-0.188,-33.332,001800.KS
이지스밸류리츠,-0.192,6.942,334890.KS
아세아,-0.193,-52.277,002030.KS
영진약품,-0.198,-58.005,003520.KS
삼양사,-0.198,-20.334,145990.KS
신일전자,-0.199,-48.322,002700.KS
TCC스틸,-0.204,-32.333,002710.KS
모나미,-0.215,-33.785,005360.KS
HS화성,-0.219,-46.883,002460.KS
대덕전자,-0.221,13.424,353200.KS
케이카,-0.222,-29.924,381970.KS
태경비케이,-0.222,-56.941,014580.KS
샘표,-0.222,-88.431,007540.KS
퍼시스,-0.229,-38.619,016800.KS
동부건설,-0.238,33.992,005960.KS
유진투자증권,-0.24,-24.908,001200.KS
일동홀딩스,-0.248,6.979,000230.KS
KT,-0.248,-8.537,030200.KS
디아이씨,-0.252,-15.775,092200.KS
미원홀딩스,-0.254,63.38,107590.KS
NICE,-0.264,-56.193,034310.KS
한국카본,-0.271,-37.729,017960.KS
다우기술,-0.271,-9.428,023590.KS
SJM홀딩스,-0.275,-78.858,025530.KS
삼익악기,-0.277,7.382,002450.KS
삼화콘덴서,-0.28,-57.874,001820.KS
흥국화재,-0.284,40.324,000540.KS
SK디스커버리,-0.298,-12.894,006120.KS
티에이치엔,-0.299,-14.024,019180.KS
플레이그램,-0.299,80.423,009810.KS
농심홀딩스,-0.3,55.376,072710.KS
덕성,-0.3,-37.843,004830.KS
더블유게임즈,-0.301,-6.879,192080.KS
남해화학,-0.303,18.059,025860.KS
진양홀딩스,-0.315,-79.706,100250.KS
유엔젤,-0.321,-66.517,072130.KS
대동,-0.345,51.055,000490.KS
락앤락,-0.348,-41.07,115390.KS
아시아나IDT,-0.35,-67.478,267850.KS
KCC,-0.351,-31.961,002380.KS
미래에셋글로벌리츠,-0.357,-29.278,396690.KS
휴스틸,-0.359,-39.321,005010.KS
이연제약,-0.36,-8.017,102460.KS
일성아이에스,-0.364,-72.849,003120.KS
황금에스티,-0.366,4.224,032560.KS
두산밥캣,-0.37,-44.399,241560.KS
서울가스,-0.375,-19.463,017390.KS
SK하이닉스,-0.375,-45.049,000660.KS
삼부토건,-0.386,-23.298,001470.KS
케이탑리츠,-0.388,313.471,145270.KS
한성기업,-0.388,-46.237,003680.KS
HL만도,-0.39,-41.193,204320.KS
SK증권,-0.392,17.497,001510.KS
콘텐트리중앙,-0.393,-52.801,036420.KS
SK네트웍스,-0.394,-56.358,001740.KS
이건산업,-0.396,103.59,008250.KS
국동,-0.398,-63.531,005320.KS
동일고무벨트,-0.401,85.888,163560.KS
한익스프레스,-0.412,-77.528,014130.KS
코오롱모빌리티그룹,-0.428,129.129,450140.KS
도화엔지니어링,-0.443,-7.289,002150.KS
삼성E&A,-0.447,-39.144,028050.KS
신송홀딩스,-0.45,-65.592,006880.KS
동성케미컬,-0.454,31.39,102260.KS
깨끗한나라,-0.455,33.765,004540.KS
한전기술,-0.457,-39.286,052690.KS
대한항공,-0.459,-46.502,003490.KS
고려제강,-0.466,-22.899,002240.KS
무림페이퍼,-0.467,18.52,009200.KS
금호건설,-0.473,39.603,002990.KS
대원제약,-0.475,-3.632,003220.KS
유나이티드제약,-0.478,52.155,033270.KS
수산인더스트리,-0.482,201.685,126720.KS
DGB금융지주,-0.491,-31.827,139130.KS
신성이엔지,-0.494,-51.266,011930.KS
써니전자,-0.498,-4.955,004770.KS
한일철강,-0.499,36.171,002220.KS
대성홀딩스,-0.499,-15.779,016710.KS
대한제당,-0.512,-13.246,001790.KS
동원수산,-0.513,-20.965,030720.KS
화승인더,-0.515,-6.876,006060.KS
애경케미칼,-0.516,-30.822,161000.KS
케이비아이동국실업,-0.517,44.341,001620.KS
화천기공,-0.525,-34.146,000850.KS
SK,-0.525,-30.022,034730.KS
SGC에너지,-0.53,-22.14,005090.KS
KTis,-0.547,-87.63,058860.KS
두산에너빌리티,-0.549,-30.555,034020.KS
LG화학,-0.561,-24.385,051910.KS
우리금융지주,-0.562,-58.263,316140.KS
SG세계물산,-0.563,108.854,004060.KS
페이퍼코리아,-0.564,62.835,001020.KS
에스엠벡셀,-0.568,235.965,010580.KS
선진,-0.571,-27.178,136490.KS
크라운제과,-0.573,-27.015,264900.KS
KG모빌리티,-0.574,-51.24,003620.KS
영보화학,-0.585,-71.957,014440.KS
코오롱인더,-0.586,12.076,120110.KS
신풍제약,-0.587,77.296,019170.KS
삼영,-0.589,7.388,003720.KS
키움증권,-0.602,-62.298,039490.KS
HL D&I,-0.607,-78.484,014790.KS
코웨이,-0.611,-74.932,021240.KS
삼화전자,-0.612,-80.303,011230.KS
서울식품,-0.613,43.88,004410.KS
일신방직,-0.614,4.784,003200.KS
조광페인트,-0.62,252.706,004910.KS
한창제지,-0.622,-3.282,009460.KS
LX세미콘,-0.628,11.163,108320.KS
영화금속,-0.634,-49.795,012280.KS
HD현대,-0.636,-39.094,267250.KS
금호에이치티,-0.64,-51.127,214330.KS
이월드,-0.641,22.498,084680.KS
S-Oil,-0.645,-50.555,010950.KS
우진,-0.65,63.469,105840.KS
하나금융지주,-0.651,-51.215,086790.KS
태림포장,-0.668,-74.277,011280.KS
넷마블,-0.669,-60.072,251270.KS
메타랩스,-0.671,-8.965,090370.KS
에넥스,-0.685,-62.273,011090.KS
일성건설,-0.688,31.143,013360.KS
부국증권,-0.69,269.05,001270.KS
CJ CGV,-0.694,17.713,079160.KS
신세계푸드,-0.706,251.575,031440.KS
흥아해운,-0.714,-31.575,003280.KS
삼양통상,-0.716,56.41,002170.KS
HDC현대EP,-0.717,2.675,089470.KS
오뚜기,-0.723,-44.343,007310.KS
벽산,-0.726,80.741,007210.KS
HD현대건설기계,-0.734,4.258,267270.KS
동남합성,-0.75,-73.917,023450.KS
KR모터스,-0.752,-42.363,000040.KS
기신정기,-0.753,122.53,092440.KS
KSS해운,-0.754,-6.716,044450.KS
우성,-0.754,77.655,006980.KS
동원금속,-0.755,-71.606,018500.KS
호텔신라,-0.762,-58.105,008770.KS
삼성전기,-0.765,-50.758,009150.KS
파미셀,-0.769,-24.153,005690.KS
화인베스틸,-0.778,-2.042,133820.KS
동양철관,-0.796,11.399,008970.KS
팬오션,-0.823,-48.788,028670.KS
서흥,-0.824,-37.139,008490.KS
KG케미칼,-0.826,-2.523,001390.KS
코리아써키트,-0.841,1.224,007810.KS
서원,-0.842,-39.778,021050.KS
동일산업,-0.845,-68.823,004890.KS
한솔로지스틱스,-0.846,-25.692,009180.KS
넥센타이어,-0.846,5.553,002350.KS
대원전선,-0.852,-14.396,006340.KS
한컴라이프케어,-0.854,-25.285,372910.KS
넥스틸,-0.854,214.89,092790.KS
대원강업,-0.864,21.714,000430.KS
자이에스앤디,-0.864,602.719,317400.KS
포스코인터내셔널,-0.887,-34.268,047050.KS
극동유화,-0.901,-15.224,014530.KS
SK바이오사이언스,-0.904,-56.607,302440.KS
세우글로벌,-0.904,276.038,013000.KS
이스타코,-0.905,-74.88,015020.KS
아센디오,-0.909,30.892,012170.KS
E1,-0.914,-39.258,017940.KS
대창,-0.915,67.878,012800.KS
DL,-0.917,-37.138,000210.KS
한온시스템,-0.92,-61.654,018880.KS
제주은행,-0.921,-9.909,006220.KS
진도,-0.929,-58.247,088790.KS
대현,-0.935,-53.457,016090.KS
LX하우시스,-0.94,-9.825,108670.KS
남광토건,-0.948,-54.476,001260.KS
진흥기업,-0.96,20.282,002780.KS
예스코홀딩스,-0.97,-33.742,015360.KS
현대코퍼레이션,-0.97,45.718,011760.KS
