종목명,티커
한국무브넥스,010100.KS
에스엠벡셀,010580.KS
퍼스텍,010820.KS
진원생명과학,011000.KS
CJ씨푸드,011150.KS
태림포장,011280.KS
유니켐,011330.KS
와이투솔루션,011690.KS
한신기계,011700.KS
현대코퍼레이션,011760.KS
STX,011810.KS
DB,012030.KS
경동인베스트,012320.KS
청호ICT,012600.KS
경인양행,012610.KS
모나리자,012690.KS
대창,012800.KS
디와이,013570.KS
계룡건설,013580.KS
대영포장,014160.KS
금강공업,014280.KS
극동유화,014530.KS
태경비케이,014580.KS
사조씨푸드,014710.KS
대창단조,015230.KS
예스코홀딩스,015360.KS
일진홀딩스,015860.KS
태경산업,015890.KS
한세예스24홀딩스,016450.KS
환인제약,016580.KS
신대양제지,016590.KS
DB금융투자,016610.KS
대성홀딩스,016710.KS
두올,016740.KS
우신시스템,017370.KS
서울가스,017390.KS
수산중공업,017550.KS
광전자,017900.KS
조일알미늄,018470.KS
세아특수강,019440.KS
하이트론,019490.KS
대교,019680.KS
현대비앤지스틸,004560.KS
한솔테크닉스,004710.KS
덕성,004830.KS
신라교역,004970.KS
성신양회,004980.KS
휴스틸,005010.KS
한국공항,005430.KS
삼진제약,005500.KS
삼영전자,005680.KS
넥센,005720.KS
휴니드,005870.KS
이수화학,005950.KS
화승인더,006060.KS
제주은행,006220.KS
대원전선,006340.KS
한일현대시멘트,006390.KS
인스코비,006490.KS
AK홀딩스,006840.KS
태경케미컬,006890.KS
일신석재,007110.KS
벽산,007210.KS
샘표,007540.KS
일양약품,007570.KS
국도화학,007690.KS
코리아써키트,007810.KS
서연,007860.KS
사조동아원,008040.KS
대덕,008060.KS
대동전자,008110.KS
NI스틸,008260.KS
남선알미늄,008350.KS
서흥,008490.KS
동양철관,008970.KS
KCTC,009070.KS
SIMPAC,009160.KS
신원,009270.KS
광동제약,009290.KS
대한제당,001790.KS
코오롱,002020.KS
경농,002100.KS
도화엔지니어링,002150.KS
삼양통상,002170.KS
한국수출포장,002200.KS
동성제약,002210.KS
한진,002320.KS
한독,002390.KS
조흥,002600.KS
제일파마홀딩스,002620.KS
신일전자,002700.KS
국제약품,002720.KS
진흥기업,002780.KS
삼영무역,002810.KS
TYM,002900.KS
금호건설,002990.KS
에이프로젠바이오로직스,003060.KS
코오롱글로벌,003070.KS
일성아이에스,003120.KS
일신방직,003200.KS
유화증권,003460.KS
HLB글로벌,003580.KS
방림,003610.KS
미창석유,003650.KS
삼영,003720.KS
대한화섬,003830.KS
신흥,004080.KS
한국석유,004090.KS
